category,file_name,type,source_unique_image,description,path
brand_and_icons,icon_clinical_intelligence.png,copied,6d85e3429eb69012.png,Bar chart icon,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\icon_clinical_intelligence.png
brand_and_icons,icon_durable_disease_control.png,copied,fd4bcf7ce2d64388.png,Recycling-style icon,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\icon_durable_disease_control.png
brand_and_icons,icon_enhanced_internalization.png,copied,cc4ab501a4396a33.png,Clipboard icon,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\icon_enhanced_internalization.png
brand_and_icons,icon_first_in_class_innovation.png,copied,a2c98fddd6f2e294.png,DNA icon,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\icon_first_in_class_innovation.png
brand_and_icons,icon_integrated_research_platform.png,copied,7f99db3c737670b2.png,Monitor icon,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\icon_integrated_research_platform.png
brand_and_icons,icon_patient_impact.png,copied,0506930db157ea78.png,Shield icon,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\icon_patient_impact.png
brand_and_icons,icon_potent_payload.png,copied,62afd20a26873414.png,Microscope icon,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\icon_potent_payload.png
brand_and_icons,icon_stable_linker_design.png,copied,33691c9fb1187e68.png,Pills icon,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\icon_stable_linker_design.png
brand_and_icons,logo_footer_light.png,copied,4c26da790269d6ba.png,Footer logo,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\logo_footer_light.png
brand_and_icons,logo_header_light.png,copied,e4d14a2d1519f69c.png,Header logo,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\logo_header_light.png
brand_and_icons,social_icons_row.png,copied,6ba4c810501b9a73.png,Social media icons row,D:\git\outputs\pdf\site_image_0616\usable_assets\brand_and_icons\social_icons_row.png
